Komponent,Množství
NOHA ALU 25,20
NOHA ALU 12,20
PANT ALU ALFA „P“,9
PANT ALU ALFA „L“,10
PANT ALU AQUA/NERO „P“,50
PANT ALU AQUA/NERO „L“,50
KLIKA PŮLKULATÁ,50
KNOBKA,20
OTOČNÝ NEREZ,10
ZADLABÁVACÍ „P“,59
ZADLABÁVACÍ „L“,64
HÁČKY ALU,50
HÁČKY NEREZ,48
NOHA NEREZ 25,54
NOHA NEREZ 12,49
PANT NEREZ ALFA „P“,49
PANT NEREZ ALFA „L“,19
PANT NEREZ AQUA/NERO „P“,59
PANT NEREZ AQUA/NERO „L“,23
VINGL ALU,43
DORAZ PLAST,30
PANT NAT. ALU ALFA „P“,9
PANT NAT. ALU ALFA „L“,69
PANT NAT. ALU NERO „P“,54
PANT NAT. ALU NERO „L“,71
PANT NAT. NEREZ ALFA „P“,50
PANT NAT. NEREZ ALFA „L“,31
PANT NAT. NEREZ NERO „P“,40
PANT NAT. NEREZ NERO „L“,10
ZADLABÁVACÍ FAB „P“,20
ZADLABÁVACÍ FAB „L“,13
KLIKA  HRANATÁ,9
KLIKA  FAB PŮLKULATÁ,7
KLIKA  FAB HRANATÁ,10
VIGL NEREZ,59
VĚŠÁK NEREZ,50
U PROFIL 25,60
U PROFIL 12,20
